Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse,Hispane,Itale,Katalune,Portugale
-A,-a,F,BRO1: -a,,marque l’adjectif; ex. hom/ homme ― hom/a humain,termination of adjectives; e. g. hom/ man ― hom/a human,bezeichnet das Adjektiv; z. B. hom/ Mensch ― hom/a menschlich,oznacza przymiotnik; np. hom/ człowiek ― hom/a ludzki,означаетъ прилагательное; напр. hom/ человѣкъ ― hom/a человѣческій,,,,
A,a,F +7OA,,"a. Nomo de la litero a, unua litero de la Esperanta alfabeto.",,,,,,,,,
ABAT/,abat/o,F,,,abbé,abbot,Abt,opat,"аббат, игумен, настоятель  AK",,,,
ABDIK/,abdik/i,3OA,,abdik/i. Demeti la reĝecon.,abdiquer,to abdicate,"dem Throne entsagen, abdanken",abdykować (noto),,abdicar,abdicare,,abdicar
ABEL/,abel/o,F,BRO8: abelo,,abeille,bee,Biene,pszczoła,пчела,,,,
ABI/,abi/o,F,BRO7: abio,,sapin,fir,Tanne,jodła,ель,,,,
ABISM/,abism/o,1OA,,,abîme (noto),abyss,Abgrund,przepaść,"пропасть, бездна",,,,
ABITURIENT/,abiturient/o,4OA,,"abiturient/o. Mezgrada lernanto, kiu finis la gimnazian kursaron, sukcese plenuminte la koncernan ekzamenon.","élève ayant terminé ses études secondaires, bachelier","top-form boy in secondary school, who obtained his leaving-certificate examination",Abiturient,,,bachiller,studente secondario che ha superato l’esame di maturità,batxiller,bacharel
ABLATIV/,ablativ/o,F,,,ablatif,ablative,Ablativ,narzędnik,творительный падежъ,,,,
ABNEGACI/,abnegaci/o,2OA,,,abnégation,abnegation,Entsagung,,,,,,
ABOMEN/,abomen/o,F,BRO8: abomeno,,abomination,abomination,Abscheu,odraza,отвращеніе,,,,
ABON/,abon/i,F,BRO8: aboni,,s’abonner (à)  AK,subscribe,abonniren,prenumerować,"подписываться (на журнал), абонироваться  AK",,,,
ABORT/,abort/i,1OA,,,avorter,"abort, miscarry",abortieren,poronić,выкинуть (недоноска),,,,
ABRIKOT/,abrikot/o,F,BRO9: abrikoto,,abricot,apricot,Aprikose,morela,абрикосъ,,,,
ABRUPT/,abrupt/a,2OA,BRO9: abrupta,,brusque,abrupt,schroff,,,,,,
ABSCES/,absces/o,F,,,abcès,abscess,Eitergeschwür  AK,robień  AK,нарывъ,,,,
ABSINT/,absint/o,F,,,absinthe,absinth  AK,Wermuth,absynt  AK,полынь,,,,
ABSOLUT/,absolut/a,F +1OA +7OA,BRO9: absoluta,,absolu,absolute,"unbeschränkt, absolut",absolutny,абсолютный,,,,
ABSORB/,absorb/i,3OA,,,aborber (l’esprit),"to occupy wholly, to absorb","den Geist ganz in Anspruch nehmen, absorbieren",absorbować (noto),,"ocuparlo todo, absorber","occupar il pensiere, assorbire la mente",,"occupar todo, absorver"
ABSTIN/,abstin/i,4OA,BRO9: abstini,,être abstinent,to abstain,"enthaltsam sein, abstinent leben",,,"abstenerse, guardar abstinencia",essere astinente,ésser abstemi,abster-se
ABSTRAKT/,abstrakt/i,1OA,,,abstrait,abstract,abstrakt,"abstrakcyjny, oderwany","отвлеченный, абстрактный",,,,
ABSURD/,absurd/a,1OA,BRO9: absurda,,absurde,absurd,absurd,niedorzeczny,нелѣпый,,,,
ABUND/,abund/a,3OA,BRO7: abunda,abund/a. Malmanka.,abondant,abundant,"reichlich, in Fülle",obfity,,abundante,abbondante,,abundante
ACER/,acer/o,F,,,érable,maple,Ahorn,klon,кленъ,,,,
ACID/,acid/a,F,BRO7: acida,,"acide, aigre  AK","acid, sour  AK",sauer,kwaśny,кислый,,,,
AĈ/,-aĉ-,1OA,BRO9: -aĉ-,"-aĉ-. Sufikso por montri malŝatan, malestiman sencon.",,,,,,,,,
AĈET/,aĉet/i,F,BRO3: aĉeti,,acheter,buy,kaufen,kupować,покупать,,,,
AD/,-ad-,F,"BRO1: -ado, -adi",,marque durée dans l’action; ex. paf/ coup de fusil ― paf/ad/ fusillade,denotes duration of action; e. g. danc/ dance ― danc/ad/ dancing,bezeichnet die Dauer der Thätigkeit; z. B. danc/ der Tanz ― danc/ad/ das Tanzen,oznacza trwanie czynności; np. ir/ iść ― ir/ad/ chodzić,"означает продолжительность действия или многократный вид; напр. ir/ идти ― ir/ad/ ходить, хаживать  AK",,,,
ADAPT/,adapt/i,3OA,BRO9: adapti,,adapter,to adapt,"anpassen, adaptieren",adaptować (noto),,adaptar,adattare,,adaptar
ADEPT/,adept/o,1OA,,,adepte,adept,Adept,adept,приверженецъ,,,,
ADIAŬ,adiaŭ,F,BRO7: adiaŭ,,adieu,"adieu, good-bye  AK",lebe wohl,bądź zdrów,прощай,,,,
