Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse
-A,-a,F,BRO1: -a,,marque l’adjectif; ex. hom/ homme ― hom/a humain,termination of adjectives; e. g. hom/ man ― hom/a human,bezeichnet das Adjektiv; z. B. hom/ Mensch ― hom/a menschlich,oznacza przymiotnik; np. hom/ człowiek ― hom/a ludzki,означаетъ прилагательное; напр. hom/ человѣкъ ― hom/a человѣческій
A,a,F +7OA,,"a. Nomo de la litero a, unua litero de la Esperanta alfabeto.",,,,,
ABAT/,abat/o,F,,,abbé,abbot,Abt,opat,"аббат, игумен, настоятель AK"
ABEL/,abel/o,F,BRO8: abelo,,abeille,bee,Biene,pszczoła,пчела
ABI/,abi/o,F,BRO7: abio,,sapin,fir,Tanne,jodła,ель
ABLATIV/,ablativ/o,F,,,ablatif,ablative,Ablativ,narzędnik,творительный падежъ
ABOMEN/,abomen/o,F,BRO8: abomeno,,abomination,abomination,Abscheu,odraza,отвращеніе
ABON/,abon/i,F,BRO8: aboni,,s’abonner (à) AK,subscribe,abonniren,prenumerować,"подписываться (на журнал), абонироваться AK"
ABRIKOT/,abrikot/o,F,BRO9: abrikoto,,abricot,apricot,Aprikose,morela,абрикосъ
ABSCES/,absces/o,F,,,abcès,abscess,Eitergeschwür AK,robień AK,нарывъ
ABSINT/,absint/o,F,,,absinthe,absinth AK,Wermuth,absynt AK,полынь
ABSOLUT/,absolut/a,F +1OA +7OA,BRO9: absoluta,,absolu,absolute,"unbeschränkt, absolut",absolutny,абсолютный
ACER/,acer/o,F,,,érable,maple,Ahorn,klon,кленъ
ACID/,acid/a,F,BRO7: acida,,"acide, aigre AK","acid, sour AK",sauer,kwaśny,кислый
AĈET/,aĉet/i,F,BRO3: aĉeti,,acheter,buy,kaufen,kupować,покупать
AD/,-ad-,F,"BRO1: -ado, -adi",,marque durée dans l’action; ex. paf/ coup de fusil ― paf/ad/ fusillade,denotes duration of action; e. g. danc/ dance ― danc/ad/ dancing,bezeichnet die Dauer der Thätigkeit; z. B. danc/ der Tanz ― danc/ad/ das Tanzen,oznacza trwanie czynności; np. ir/ iść ― ir/ad/ chodzić,"означает продолжительность действия или многократный вид; напр. ir/ идти ― ir/ad/ ходить, хаживать AK"
ADIAŬ,adiaŭ,F,BRO7: adiaŭ,,adieu,"adieu, good-bye AK",lebe wohl,bądź zdrów,прощай
ADJEKTIV/,adjektiv/o,F,BRO8: adjektivo,,adjectif,adjective,Eigenschaftswort,przymiotnik,имя прилагательное
ADMINISTR/,administr/i,F,BRO8: administri,,admininistrer,administer,verwalten,zarządzać,управлять
ADMIR/,admir/i,F,BRO8: admiri,,admirer,admire,bewundern,podziwiać,"дивиться, изумляться, восхищаться AK"
ADMON/,admon/i,F,BRO8: admoni,,"engager, exhorter AK",exhort,ermahnen,upominać,увѣщевать
ADOR/,ador/i,F,BRO9: adori,,adorer,adore,anbeten,uwielbiać,обожать
ADRES/,adres/o,F +1OA +8OA,BRO5: adreso,,adresse (de lettre),address,Adresse,adres,адресъ
ADULT/,adult/i,F,,,commettre un adultère AK,commit adultery AK,ehebrechen,cudzołożyć,прелюбодѣйствовать
ADVERB/,adverb/o,F,BRO9: adverbo,,adverbe,adverb,Unstandswort AK,przysłówek,нарѣчіе
AER/,aer/o,F,BRO4: aero,,air,air,Luft,powietrze,воздухъ
AER/UM/,aer/um/i,F,,,aérer,expose to the air,lüften,przewietrzać,провѣтривать
AFABL/,afabl/a,F,BRO3: afabla,,"affable, aimable AK",affable,freundlich,uprzejmy,"приветливый, любезный AK"
AFEKT/,afekt/i,F,,,"affecter, être affecté, minauder AK","be affected, mince AK",sich zieren AK,afektować,"аффектировать, жеманиться, рисоваться AK"
AFER/,afer/o,F,BRO2: afero,,"affaire (en général), chose AK",affair,"Sache, Angelegenheit",sprawą rzecz AK,дѣло
AG/,ag/i,F,BRO5: agi,,agir,act,"handeln, verfahren",postępować,поступать
AGAC/,agac/i,F,,,agacement (des dents) AK,"setting on edge (teeth, etc.) AK",Stumpfheit der Zähne AK,cierpnąć (zęby) AK,оскомина
AGL/,agl/o,F,BRO7: aglo,,aigle,eagle,Adler,orzeł,орелъ
AGORD/,agord/o,F,BRO7: agordo,,"accorder, mettre au diapason (musique) AK",tune (vb.) AK,stimmen,nastrajać,настраивать
AGRABL/,agrabl/a,F,BRO4: agrabla,,agreable,agreeable,angenehm,przyjemny,пріятный
AĜ/,aĝ/o,F,BRO4: aĝo,,âge,age,Alter,wiek,возраст AK
AJL/,ajl/o,F,BRO9: ajlo,,ail,garlic AK,Knoblauch,czosnek,чеснокъ
